# Backlog — subjects queued for a future wave. Same "Category<TAB>Name"
# format wave.mjs reads, so a wave can be cut straight from this file
# (comment lines have no tab and are filtered out by the roster parser).
#
# ═══ LISTENABLE / WATCHABLE MIX (Tony's musing, 2026-08-08 — "feels
# possible in a way it didn't just an hour ago") ═══
# The mix as a PODCAST you play in the car; ultimately a generated SHOW.
# Phases:
#   (a) Drivable influence playlist: the music mix's songs + TTS-read
#       interstitials of the card text we already generate. Card copy IS
#       the script; the mix IS the running order. Nearest-term.
#   (b) Media-agnostic rich podcast: original research narration + CITED
#       AUDIO QUOTES stitched end-to-end — the watchable-receipts idea
#       becoming hearable (play the 1978 Dunham clip inside the episode).
#   (c) Dynamically generated video show: the influence mix as a watchable
#       multimedia episode; cards as scenes.
# THE RIGHTS LINE THAT SHAPES ALL THREE: embeds are page-level permission —
# a platform lets you EMBED in a page; it does NOT let you stitch its
# audio/video into a generated artifact. Stitchable inputs are exactly the
# three clean storage cases from the inline-media contemplation: public
# domain (LoC/AAPB-era material), first-party (agent-outreach recordings,
# artist-curated audio), licensed. So (a) works today as app-played
# playlist w/ TTS between PLATFORM-STREAMED songs (nothing stitched);
# (b)/(c) grow with the PD + first-party archive. The tech is near
# (transcripts, TTS, timestamps all exist in-house); rights is the design
# constraint, not capability.
#
# KANOPY DOORS BROKEN (Tony, 2026-08-09, reviewing comedy pages / Ali
# Wong): almost every Kanopy search link fails to produce results — same
# disease as Google Arts & Culture (fixed by falling back to a standard
# google search). Fix in src/lib/experience.js defaultExperienceLinks:
# replace the Kanopy search-url door with a google search scoped to the
# title, or drop Kanopy entirely.
#
# ═══ COMEDY (Tony, 2026-08-08): mine 10 comedians BEFORE SEPTEMBER ═══
# A category we haven't touched — and unusually well-suited to the current
# source stack: comedians self-document influence relentlessly (Fresh Air
# guest depth is deep; AAPB sweep already found Richard Pryor with 132
# online items — he's in the corpus as television and can anchor the
# neighborhood). Candidate roster below spans eras/styles — edit freely,
# then a wave can be cut straight from these rows (~$0.30/subject + the
# audio-source harvests on top).
Comedy	Lenny Bruce
Comedy	Moms Mabley
Comedy	George Carlin
Comedy	Joan Rivers
Comedy	Phyllis Diller
Comedy	Steve Martin
Comedy	Eddie Murphy
Comedy	Dave Chappelle
Comedy	Ali Wong
Comedy	Tig Notaro
#
# ═══ GROWTH: TIKTOK-LENGTH INFLUENCE TREES (Tony, 2026-08-08) ═══
# Once Kynda is live/scalable/affordable consumer-facing: generate short
# vertical videos laying out the influence tree of NEW AND EMERGING bands,
# shows, cultural phenomena — awareness engine, phase (d) of the media
# ladder (same stack as the show: cards → script → TTS → video, cut to
# 60-90s). Why it may come FIRST among the media phases:
#   - SPEED IS THE MOAT: album drops Friday, verified influence tree posts
#     Saturday — the pipeline turns a new release into quote-confirmed
#     receipts in hours for ~$1. Nobody else can do it WITH receipts.
#   - EMERGING ARTISTS SELF-DOCUMENT: fresh acts name influences in every
#     interview — harvest is easy where the corpus is otherwise thinnest
#     (recency). And the featured artist is the likeliest sharer: the
#     video hands them a lineage — they amplify it. Distribution flywheel;
#     top of the funnel for "artists curate their own maps."
#   - RECEIPTS AS BRAND: every claim on screen is quote-confirmed — the
#     citation chip IN THE FRAME — vs vibes-based music-tok. The
#     verification ethic IS the differentiator at 15 seconds.
#   - RIGHTS CARVE-OUT: TikTok/Reels carry platform-licensed music
#     libraries — the soundtrack problem is partially solved ON-platform
#     (the artist's own tracks usable in-app), unlike the stitched podcast.
#   - Comment section = hunch queue (Ask Kynda's reader-contribution loop,
#     aimed at the generation that lives there).
#
# ═══ TOP ITEM (Tony, 2026-08-08): INLINE MEDIA v0 on a demo page ═══
# Watch Cunningham's influences embedded IN the cards; hear Jarrett's
# predecessors. v0 = render existing curated Experience-it doors (many are
# already YouTube/Vimeo urls) as official embed players on ONE demo page
# (Cunningham candidate). ~an afternoon. Principles from the contemplation:
#   - embed ≠ host ≠ steal: official embed APIs are the platform's own
#     distribution; views/ads accrue to the creator. Inline preview,
#     OUTBOUND CREDIT (keep the "watch on YouTube ↗" door visible).
